RES_ID,RESPONSE,LABEL,DATA_TYPE,DATA_GROUP,BACK_TRANSLATED_RESPONSE,CLEAN_RESPONSE,CORRECTED_RESPONSE,NORMALIZE_RESPONSE
TRA21,satu tantangan yang akan dihadapi pengungsi adalah kehilangan pekerjaan mereka yaitu pekerjaan bertani atau nelayan dan itulah salah satu pencaharian mereka selama menetap di Travina.,1,TRAIN,A,"Salah satu tantangan yang akan dihadapi para pengungsi adalah hilangnya pekerjaan mereka, yaitu pekerjaan pertanian atau nelayan dan itu adalah salah satu mata pencaharian mereka saat menetap di Travina.",salah satu tantangan yang akan dihadapi para pengungsi adalah hilangnya pekerjaan mereka yaitu pekerjaan pertanian atau nelayan dan itu adalah salah satu mata pencaharian mereka saat menetap di travina,salah satu tantangan yang akan diharap para pengungsi adalah belangnya pekerjaan mereka yaitu pekerjaan pertanian atau nelayan dan itu adalah salah satu mata pencaharian mereka saat menetap di trivia,salah satu tantangan yang akan diharap para pengungsi adalah belangnya pekerjaan mereka yaitu pekerjaan pertanian atau nelayan dan itu adalah salah satu mata pencaharian mereka saat menetap di trivia
TRA22,akan terjadinya perubahan tempat,0,TRAIN,A,Akan ada perubahan di tempatnya,akan ada perubahan di tempatnya,akan ada perubahan di tempatnya,akan ada perubahan di tempatnya
TRA23,"karena,akan ada bencana alam yang akan datang",0,TRAIN,A,"Karena, akan ada bencana alam yang akan datang",karena akan ada bencana alam yang akan datang,karena akan ada bencana alam yang akan datang,karena akan ada bencana alam yang akan datang
TRA24,Mereka perlu adaptasi dan harus rela berpisah dengan tembat lamanya yang kemungkinan lahan tersebut akan hilang,1,TRAIN,A,Mereka perlu beradaptasi dan harus bersedia berpisah dengan fiskal lama mereka yang kemungkinan akan hilang,mereka perlu beradaptasi dan harus bersedia berpisah dengan fiskal lama mereka yang kemungkinan akan hilang,mereka perlu beradaptasi dan harus bersedia berpisah dengan fiskal lama mereka yang kemungkinan akan hilang,mereka perlu beradaptasi dan harus bersedia berpisah dengan fiskal lama mereka yang kemungkinan akan hilang
TRA25,"tidak terjamin dengan semua kebutuhannya, dan sulit untuk beradaptasi dengan tempat baru",1,TRAIN,A,"tidak dijamin dengan semua kebutuhan mereka, dan sulit untuk beradaptasi dengan tempat baru",tidak dijamin dengan semua kebutuhan mereka dan sulit untuk beradaptasi dengan tempat baru,tidak vitamin dengan semua kebutuhan mereka dan sulit untuk beradaptasi dengan tempat baru,tidak vitamin dengan semua kebutuhan mereka dan sulit untuk beradaptasi dengan tempat baru
TRA26,orang-orang yang trpaksa meninggalkan komunitas atau negaranya karna bercanda lingkungan,0,TRAIN,A,orang yang dipaksa meninggalkan komunitas atau negara mereka karena lelucon lingkungan,orang yang dipaksa meninggalkan komunitas atau negara mereka karena lelucon lingkungan,orang yang paksa meninggalkan komunitas atau negara mereka karena lelucon lingkungan,orang yang paksa meninggalkan komunitas atau negara mereka karena lelucon lingkungan
TRA27,Mereka tidak akan mudah menyesuaikan hidup mereka di tempat baru,1,TRAIN,A,Mereka tidak akan dengan mudah menyesuaikan hidup mereka di tempat baru,mereka tidak akan dengan mudah menyesuaikan hidup mereka di tempat baru,mereka tidak akan dengan mudah menyesuaikan hidup mereka di tempat baru,mereka tidak akan dengan mudah menyesuaikan hidup mereka di tempat baru
TRA28,mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka,1,TRAIN,A,mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka,mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka,mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka,mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka
TRA29,tidak mempunyai tempat yang tetap,1,TRAIN,A,tidak memiliki tempat yang tetap,tidak memiliki tempat yang tetap,tidak memiliki tempat yang tetap,tidak memiliki tempat yang tetap
TRA30,"masalah yang dapatdidapatkan oleh pengngungsi itu adalah penggunaan bahasa, dan pencarian lapangan kerja, tempat tinggal.",1,TRAIN,A,"Masalah yang dapat ditemukan oleh fungsi adalah penggunaan bahasa, dan pencarian pekerjaan, tempat tinggal.",masalah yang dapat ditemukan oleh fungsi adalah penggunaan bahasa dan pencarian pekerjaan tempat tinggal,masalah yang dapat ditemukan oleh fungsi adalah penggunaan bahasa dan pencarian pekerjaan tempat tinggal,masalah yang dapat ditemukan oleh fungsi adalah penggunaan bahasa dan pencarian pekerjaan tempat tinggal
TRA31,mereka akan kehilangan lahan pertanian sektor pariwisata dan perikanan dan tempat tinggal mereka.,1,TRAIN,A,Mereka akan kehilangan lahan pertanian di sektor pariwisata dan perikanan dan tempat tinggal mereka.,mereka akan kehilangan lahan pertanian di sektor pariwisata dan perikanan dan tempat tinggal mereka,mereka akan kehilangan lahan pertanian di sektor pariwisata dan perikanan dan tempat tinggal mereka,mereka akan kehilangan lahan pertanian di sektor pariwisata dan perikanan dan tempat tinggal mereka
TRA32,penderitaan panas nya cuaca iklim,0,TRAIN,A,penderitaan panasnya cuaca iklim,penderitaan panasnya cuaca iklim,penderitaan anaknya cuaca iklim,penderitaan anaknya cuaca iklim
TRA33,Warga di Travina akan mengalami bencana yang besar dan disebabkan oleh perubahan iklim .,0,TRAIN,A,Warga di Travina akan mengalami bencana besar dan disebabkan oleh perubahan iklim.,warga di travina akan mengalami bencana besar dan disebabkan oleh perubahan iklim,warga di trivia akan mengalami bencana besar dan diserakkan oleh perubahan iklim,warga di trivia akan mengalami bencana besar dan diserakkan oleh perubahan iklim
TRA34,"MEREKA AKAN MENINGGALKAN NEGARANYA, DAN MEREKA AKAN MENJADI PUENGUNGSI YANG MEMBUTUHKAN BANTUAN DARI NEGARA LAIN, MEREKA JUGA MEMBUTUHKAN NEGARA MANA YANG HARUS MENJADI PENGUNGSI",0,TRAIN,A,"Mereka akan meninggalkan negara mereka, dan mereka akan menjadi aspek yang membutuhkan bantuan dari negara lain, mereka juga membutuhkan negara mana yang akan menjadi pengungsi",mereka akan meninggalkan negara mereka dan mereka akan menjadi aspek yang membutuhkan bantuan dari negara lain mereka juga membutuhkan negara mana yang akan menjadi pengungsi,mereka akan meninggalkan negara mereka dan mereka akan menjadi aspek yang membutuhkan bantuan dari negara lain mereka juga membutuhkan negara mana yang akan menjadi pengungsi,mereka akan meninggalkan negara mereka dan mereka akan menjadi aspek yang membutuhkan bantuan dari negara lain mereka juga membutuhkan negara mana yang akan menjadi pengungsi
TRA35,tantanganya adalah mereka harus beradapatsi lagi dengan lingkungan barunya.,1,TRAIN,A,Tantangannya adalah mereka harus beradaptasi lagi dengan lingkungan baru mereka.,tantangannya adalah mereka harus beradaptasi lagi dengan lingkungan baru mereka,tantangannya adalah mereka harus beradaptasi lagi dengan lingkungan baru mereka,tantangannya adalah mereka harus beradaptasi lagi dengan lingkungan baru mereka
TRA36,akan terjadi lama proses adaptasi yang dilakukan oleh para pengunsi iklim tersebut.,1,TRAIN,A,Akan ada proses adaptasi panjang yang dilakukan oleh para pengungsi iklim ini.,akan ada proses adaptasi panjang yang dilakukan oleh para pengungsi iklim ini,akan ada proses adaptasi panjang yang dielakkan oleh para pengungsi iklim ini,akan ada proses adaptasi panjang yang dielakkan oleh para pengungsi iklim ini
TRA37,komunitas dan negara,0,TRAIN,A,komunitas dan negara,komunitas dan negara,komunitas dan negara,komunitas dan negara
TRA38,"Tantangan pengungsi iklim adalah lahan pekerjaan yang ia tempati dulu akan hilang, karena ia harus meninggalkan negaranya karena bencana lingkungan yang ada di negaranya.",1,TRAIN,A,"Tantangan pengungsi iklim adalah bahwa tanah yang ia tempati akan hilang, karena ia harus meninggalkan negaranya karena bencana lingkungan di negaranya.",tantangan pengungsi iklim adalah bahwa tanah yang ia tempati akan hilang karena ia harus meninggalkan negaranya karena bencana lingkungan di negaranya,tantangan pengungsi iklim adalah bahwa tanah yang ia tempat akan hilang karena ia harus meninggalkan segaramnya karena bencana lingkungan di segaramnya,tantangan pengungsi iklim adalah bahwa tanah yang ia tempat akan hilang karena ia harus meninggalkan segaramnya karena bencana lingkungan di segaramnya
TRA39,beradaptasi dengan lingkungan yang baru,1,TRAIN,A,beradaptasi dengan lingkungan baru,beradaptasi dengan lingkungan baru,beradaptasi dengan lingkungan baru,beradaptasi dengan lingkungan baru
TRA40,tantanganya adalah akan meninggalkan tempat tinggal dan perkebunan yang dimiliki,0,TRAIN,A,Tantangannya adalah meninggalkan tempat tinggal dan perkebunan yang dimiliki,tantangannya adalah meninggalkan tempat tinggal dan perkebunan yang dimiliki,tantangannya adalah meninggalkan tempat tinggal dan perkebunan yang memiliki,tantangannya adalah meninggalkan tempat tinggal dan perkebunan yang memiliki
TRA41,sulit mencari lahan pertanian,0,TRAIN,A,Sulit menemukan lahan pertanian,sulit menemukan lahan pertanian,sulit menemukan lahan pertanian,sulit menemukan lahan pertanian
TRA42,"Harus mencari tempat untuk bekerja, membangun rumah dan berkenalan dengan orang asing",1,TRAIN,A,"Harus mencari tempat untuk bekerja, membangun rumah dan berkenalan dengan orang asing",harus mencari tempat untuk bekerja membangun rumah dan berkenalan dengan orang asing,harus mencari tempat untuk bekerja membangun rumah dan berkenalan dengan orang asing,harus mencari tempat untuk bekerja membangun rumah dan berkenalan dengan orang asing
TRA43,"penyesuaian lingkungan dan masalah imigrasi, seperti amerika yang menolak imigran/pendatang dari luar",1,TRAIN,A,"Penyesuaian lingkungan dan masalah imigrasi, seperti Amerika yang menolak imigran/migran dari luar",penyesuaian lingkungan dan masalah imigrasi seperti amerika yang menolak imigranmigran dari luar,penyesuaian lingkungan dan masalah imigrasi seperti amerika yang menolak imigranmigran dari luar,penyesuaian lingkungan dan masalah imigrasi seperti amerika yang menolak imigranmigran dari luar
TRA44,kehilangan segalanya,1,TRAIN,A,kehilangan segalanya,kehilangan segalanya,kehilangan segalanya,kehilangan segalanya
TRA45,sebagian dari mereka akan kehilangan lahan dan keluarganya.,1,TRAIN,A,Beberapa dari mereka akan kehilangan tanah dan keluarga mereka.,beberapa dari mereka akan kehilangan tanah dan keluarga mereka,beberapa dari mereka akan kehilangan tanah dan keluarga mereka,beberapa dari mereka akan kehilangan tanah dan keluarga mereka
TRA46,sulit beradaptasi dengan wilayah barunya,1,TRAIN,A,sulit beradaptasi dengan area baru,sulit beradaptasi dengan area baru,sulit beradaptasi dengan area baru,sulit beradaptasi dengan area baru
TRA47,ia susah untuk beradaptasi,1,TRAIN,A,Dia sulit untuk beradaptasi,dia sulit untuk beradaptasi,dia sulit untuk beradaptasi,dia sulit untuk beradaptasi
TRA48,Mereka harus bisa beradaptasi dengan lingkungan barunya.,1,TRAIN,A,Mereka harus dapat beradaptasi dengan lingkungan baru mereka.,mereka harus dapat beradaptasi dengan lingkungan baru mereka,mereka harus dapat beradaptasi dengan lingkungan baru mereka,mereka harus dapat beradaptasi dengan lingkungan baru mereka
TRA49,kalau tidak pindah kita terkena bencana,0,TRAIN,A,"Jika kami tidak bergerak, kami akan mendapatkan bencana",jika kami tidak bergerak kami akan mendapatkan bencana,jika kami tidak bergerak kami akan mendapatkan bencana,jika kami tidak bergerak kami akan mendapatkan bencana
TRA50,penguisi iklim adalah orang orang yang terpaksa meningalkan komunikasi atau negaranya karena karena beencna,1,TRAIN,A,Pengisi iklim adalah orang -orang yang dipaksa meninggalkan komunikasi atau negara mereka karena keberangkatan,pengisi iklim adalah orang orang yang dipaksa meninggalkan komunikasi atau negara mereka karena keberangkatan,pengisi iklim adalah orang orang yang paksa meninggalkan komunikasi atau negara mereka karena keberangkatan,pengisi iklim adalah orang orang yang paksa meninggalkan komunikasi atau negara mereka karena keberangkatan
TRA51,mereka harus beradaptasi dengan tempat tersebut dan harus merelakan rumah dan harta nya tengelam,1,TRAIN,A,Mereka harus beradaptasi dengan tempat itu dan harus menyerahkan rumah dan kekayaan mereka,mereka harus beradaptasi dengan tempat itu dan harus menyerahkan rumah dan kekayaan mereka,mereka harus beradaptasi dengan tempat itu dan harus menyerahkan rumah dan kekayaan mereka,mereka harus beradaptasi dengan tempat itu dan harus menyerahkan rumah dan kekayaan mereka
TRA52,tantangan yang pasti akan dihadapi oleh orang-orang Travina menjadi pengungsi iklim adalah harusnya berbaur dengan baik sesuai dengan aturan dan tatanan yang ada ditempat baru yang akan ditinggali,1,TRAIN,A,Tantangan yang pasti akan dihadapi oleh Travina untuk menjadi pengungsi iklim adalah bahwa mereka harus bergaul dengan baik sesuai dengan aturan dan ketertiban di tempat baru yang dihuni,tantangan yang pasti akan dihadapi oleh travina untuk menjadi pengungsi iklim adalah bahwa mereka harus bergaul dengan baik sesuai dengan aturan dan ketertiban di tempat baru yang dihuni,tantangan yang pasti akan diharap oleh trivia untuk menjadi pengungsi iklim adalah bahwa mereka harus bergaul dengan baik sesuai dengan aturan dan ketertiban di tempat baru yang dini,tantangan yang pasti akan diharap oleh trivia untuk menjadi pengungsi iklim adalah bahwa mereka harus bergaul dengan baik sesuai dengan aturan dan ketertiban di tempat baru yang dini
TRA53,pengungsi iklim,0,TRAIN,A,Pengungsi Iklim,pengungsi iklim,pengungsi iklim,pengungsi iklim
TRA54,"Mereka akan beradaptasi dengan tempat mereka yang baru, dan mereka harus menerima keadaan tempat mereka yang baru serta menjalani cara hidup yang baru ditempat tersebut",1,TRAIN,A,"Mereka akan beradaptasi dengan tempat -tempat baru mereka, dan mereka harus menerima keadaan tempat baru mereka dan menjalani cara hidup baru di tempat itu",mereka akan beradaptasi dengan tempat tempat baru mereka dan mereka harus menerima keadaan tempat baru mereka dan menjalani cara hidup baru di tempat itu,mereka akan beradaptasi dengan tempat tempat baru mereka dan mereka harus menerima keadaan tempat baru mereka dan menjalani cara hidup baru di tempat itu,mereka akan beradaptasi dengan tempat tempat baru mereka dan mereka harus menerima keadaan tempat baru mereka dan menjalani cara hidup baru di tempat itu
TRA55,akan kehilangan komunitas dan negaranya,1,TRAIN,A,akan kehilangan komunitas dan negara,akan kehilangan komunitas dan negara,akan kehilangan komunitas dan negara,akan kehilangan komunitas dan negara
TRA56,kehidupan yang tidak sama dengan kehidupan yang biasa mereka jalani di negaranya,0,TRAIN,A,Hidup yang tidak sama dengan kehidupan yang biasanya mereka tinggali di negara mereka,hidup yang tidak sama dengan kehidupan yang biasanya mereka tinggali di negara mereka,hidup yang tidak sama dengan kehidupan yang biasanya mereka tinggal di negara mereka,hidup yang tidak sama dengan kehidupan yang biasanya mereka tinggal di negara mereka
TRA57,mereka harus rela kehilangan tempat tinggal yang mereka miliki sebelumnya karena pengaruh bencana alam yang tidak dapat dilewati,1,TRAIN,A,Mereka harus rela kehilangan rumah sebelumnya karena pengaruh bencana alam yang tidak dapat dilewati,mereka harus rela kehilangan rumah sebelumnya karena pengaruh bencana alam yang tidak dapat dilewati,mereka harus rela kehilangan rumah sebetulnya karena pengaruh bencana alam yang tidak dapat dilematik,mereka harus rela kehilangan rumah sebetulnya karena pengaruh bencana alam yang tidak dapat dilematik
TRA58,mereka harus mengusahakan tempat mereka pindah untuk bertahan hidup dan harus menyesuaikan diri dengan lingkungan baru mereka,1,TRAIN,A,Mereka harus mencoba untuk pindah ke tempat mereka pindah untuk bertahan hidup dan harus menyesuaikan diri dengan lingkungan baru mereka,mereka harus mencoba untuk pindah ke tempat mereka pindah untuk bertahan hidup dan harus menyesuaikan diri dengan lingkungan baru mereka,mereka harus mencoba untuk pindah ke tempat mereka pindah untuk bertahan hidup dan harus menyesuaikan diri dengan lingkungan baru mereka,mereka harus mencoba untuk pindah ke tempat mereka pindah untuk bertahan hidup dan harus menyesuaikan diri dengan lingkungan baru mereka
TRA59,"Warga Travina tidak betah untuk tinggal di tempat lain bukan tempat asalnya ,tidur pun suka tidak nyenyak dan makanan pun tidak sebanyak di tempat tinggal dulu ,mandi pun harus rela mengantri dengan pengungsi iklim lainnya",1,TRAIN,A,"Penduduk Travina tidak merasa nyaman tinggal di tempat lain, bukan tempat aslinya, tidur bukanlah suara dan makanan tidak sebanyak di tempat pertama, mandi harus rela mengantri dengan pengungsi iklim lainnya",penduduk travina tidak merasa nyaman tinggal di tempat lain bukan tempat aslinya tidur bukanlah suara dan makanan tidak sebanyak di tempat pertama mandi harus rela mengantri dengan pengungsi iklim lainnya,penduduk trivia tidak merasa nyaman tinggal di tempat lain bukan tempat aslinya tidur bukankah suara dan makanan tidak sebanyak di tempat pertama mandi harus rela menyantri dengan pengungsi iklim airnya,penduduk trivia tidak merasa nyaman tinggal di tempat lain bukan tempat aslinya tidur bukankah suara dan makanan tidak sebanyak di tempat pertama mandi harus rela menyantri dengan pengungsi iklim airnya
TRA60,"mereka harus memulai lingkungan yang baru, beradaptasi dengan lingkungan mereka yang baru, dan membangun rumah atau pertanian di tempat baru tersebut",1,TRAIN,A,"Mereka harus memulai lingkungan baru, beradaptasi dengan lingkungan baru mereka, dan membangun rumah atau pertanian di tempat baru itu",mereka harus memulai lingkungan baru beradaptasi dengan lingkungan baru mereka dan membangun rumah atau pertanian di tempat baru itu,mereka harus memulai lingkungan baru beradaptasi dengan lingkungan baru mereka dan membangun rumah atau pertanian di tempat baru itu,mereka harus memulai lingkungan baru beradaptasi dengan lingkungan baru mereka dan membangun rumah atau pertanian di tempat baru itu
TRA61,Mereka akan susah beradaptasi pada lingkungan yang baru dan mereka akan susah mendapat keahlian yang dibutuhkan di tempat yang baru,1,TRAIN,A,Mereka akan sulit untuk beradaptasi dengan lingkungan baru dan mereka akan sulit untuk mendapatkan keahlian yang dibutuhkan di tempat baru,mereka akan sulit untuk beradaptasi dengan lingkungan baru dan mereka akan sulit untuk mendapatkan keahlian yang dibutuhkan di tempat baru,mereka akan sulit untuk beradaptasi dengan lingkungan baru dan mereka akan sulit untuk mendapatkan keahlian yang dibujurkan di tempat baru,mereka akan sulit untuk beradaptasi dengan lingkungan baru dan mereka akan sulit untuk mendapatkan keahlian yang dibujurkan di tempat baru
TRA62,"mereka harus beradaptasi dengan tampat baru yang mereka akan tinggal,memulai hidup baru mereka juga akan sangat sulit mendapatkan pekerjaan",1,TRAIN,A,"Mereka harus beradaptasi dengan Tampat baru yang akan mereka jalani, memulai hidup baru mereka juga akan sangat sulit untuk mendapatkan pekerjaan",mereka harus beradaptasi dengan tampat baru yang akan mereka jalani memulai hidup baru mereka juga akan sangat sulit untuk mendapatkan pekerjaan,mereka harus beradaptasi dengan tempat baru yang akan mereka jalan memulai hidup baru mereka juga akan sangat sulit untuk mendapatkan pekerjaan,mereka harus beradaptasi dengan tempat baru yang akan mereka jalan memulai hidup baru mereka juga akan sangat sulit untuk mendapatkan pekerjaan
TRA63,"mereka akan kesusahan dalam mencari kerja,mencari usaha dan lain lain.",1,TRAIN,A,"Mereka akan bermasalah dalam menemukan pekerjaan, menemukan bisnis dan orang lain.",mereka akan bermasalah dalam menemukan pekerjaan menemukan bisnis dan orang lain,mereka akan bermasalah dalam menemukan pekerjaan menemukan bisnis dan orang lain,mereka akan bermasalah dalam menemukan pekerjaan menemukan bisnis dan orang lain
TRA64,masalah tempat tingal dan barang berharga,1,TRAIN,A,Masalah tempat tinggal dan barang berharga,masalah tempat tinggal dan barang berharga,masalah tempat tinggal dan barang berharga,masalah tempat tinggal dan barang berharga
TRA65,ketidak nyamanan berpindah,1,TRAIN,A,Gerakan yang hilang,gerakan yang hilang,gerakan yang hilang,gerakan yang hilang
TRA66,"mareka merasakan sesuatu yang tidak enak karna meningalkan nerara ,keluarga,DAN lain-lain",1,TRAIN,A,"Mereka merasakan sesuatu yang buruk karena mereka meninggalkan negara, keluarga, dan lainnya",mereka merasakan sesuatu yang buruk karena mereka meninggalkan negara keluarga dan lainnya,mereka merasakan sesuatu yang buruk karena mereka meninggalkan negara keluarga dan airnya,mereka merasakan sesuatu yang buruk karena mereka meninggalkan negara keluarga dan airnya
TRA67,mereka harus memulai hidup baru dan harus tinggal dengan keadaan yang berbeda dari sebelumnya.,1,TRAIN,A,Mereka harus memulai kehidupan baru dan harus tetap dengan keadaan yang berbeda dari sebelumnya.,mereka harus memulai kehidupan baru dan harus tetap dengan keadaan yang berbeda dari sebelumnya,mereka harus memulai kehidupan baru dan harus tetap dengan keadaan yang berbeda dari sebetulnya,mereka harus memulai kehidupan baru dan harus tetap dengan keadaan yang berbeda dari sebetulnya
TRA68,berwaspada,0,TRAIN,A,Peringatan,peringatan,peringatan,peringatan
TRA69,membuat kembali lahan pertanian/ lahan pekerjaan yang sudah ditinggalkan di negara tersebut,1,TRAIN,A,Membuat Lahan Tanah/ Kerja Pertanian yang Telah Ditinggalkan Di Negara,membuat lahan tanah kerja pertanian yang telah ditinggalkan di negara,membuat lahan tanah kerja pertanian yang telah ditinggalkan di negara,membuat lahan tanah kerja pertanian yang telah ditinggalkan di negara
